<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.020>	"palla"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.006>	"di torre nuragica"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.023.000.006.006>	"a dorso"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.023.000.006>	"coltello"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.000.000.007.003>	"sepolcrale"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.000.000.007>	"mensa"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.000.000.003>	"maschera"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.000.000.003.008>	"maschile"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.000.000.003.006>	"satiresca"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.000.000.003.007>	"femminile"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.000.000.003.004>	"comica"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.000.000.003.005>	"tragica"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.000.000.003.002>	"di fontana"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.000.000.003.003>	"votiva"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.000.000.003.001>	"apotropaica"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008>	"SCULTURA"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.019>	"nottolino"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.001>	"votivo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.000.000.023.001>	"cannello"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.000.000.023>	"pipa"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/003.004.000.001>	"comignolo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/003.004>	"IMPIANTI PER RISCALDAMENTO"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.014.003>	"antropomorfa"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.014>	"lamina"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.002>	"di altare"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002.001.003>	"di barca"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.002>	"MODELLINI"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/003.002.002.009.002>	"decorativo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/003.002.002.009>	"fregio"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.014.002>	"votiva"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.021.000.001.012>	"orlo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.021.000.001>	"calamaio"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.016>	"maniglia"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.003.005.003>	"fionda"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.003.005>	"ARMI DA LANCIO"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.089>	"mastos"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.089.001>	"con un'ansa orizzontale e una verticale"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.089.002>	"ansa"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.089.005>	"spalla"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.089.003>	"orlo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.089.004>	"parete"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.015>	"lucchetto"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.001.001>	"ciborio"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.001.001.001>	"archivolto"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.001>	"ARREDI D'ALTARE"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.000.000.014>	"lingotto"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.000.000.014.001>	"ox-hide"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009>	"STRUMENTI - UTENSILI - OGGETTI D'USO"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.013>	"distanziatore"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002>	"ARREDI SACRI E VOTIVI"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.112.004>	"beccuccio"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.112>	"recipiente"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.000.000.004.021>	"a occhio con lama asimmetrica"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.012>	"disco"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.003.001.007.007>	"codolo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.003.001.007>	"gladio"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.022.002>	"per riscaldamento"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.022>	"braciere"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.002.000.001.003>	"arto inferiore destro"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.002.000.001>	"bronzetto"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.112.024>	"vasca"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.014.001>	"di rivestimento"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.112.026>	"versatoio"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.000.006.002>	"d'altare"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.000.006>	"croce"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.011.007>	"doppio"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.011>	"chiodo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.018.000.002.001>	"ad acqua"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.018.000.002>	"clessidra"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.133>	"thymiaterion"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.133.001>	"orlo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.005.000.133.002>	"piede"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.000.006.001>	"astile"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.011.006>	"a testa piramidale"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.000.007>	"perirrhanterion"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.011.009>	"gambo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.001.000.002.012>	"braccio destro"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/008.001.000.002>	"busto"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.000.006.003>	"pensile"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.011.008>	"testa"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.020.000.010.007>	"puntale"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.020.000.010>	"insegna"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.000.005.003>	"rastremato"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.000.005>	"betilo"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.003.001.023.003>	"germanica"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.003.001.023>	"spatha"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.002.000.005.008>	"lama accessoria"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.002.000.005>	"falce"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.007.000.011.003>	"a T"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/002.002.000.005.002>	"mammellato"@it
<http://dati.beniculturali.it/vocabularies/reperti_archeologici/def/009.003.003.019.035>	"di tipo Montefortino"@it
